Isotope,Spin,b+,b+_unc,b-,b-_unc,A,+LHS,-LHS
1H1,0.5,10.817,0.005,-47.42,0.014,1,-7.32076923076923,37.47692307692308
1H2,1.0,9.53,0.03,0.975,0.06,2,-4.818435394329592,0.40472460551192524
1H3,0.5,4.18,0.15,6.56,0.37,3,-1.2294231744505022,-2.4988076613385872
2He3,0.5,4.7,0.5,8.8,1.4,3,-1.5067676841907565,-3.6935224725273734
2He4,0.0,3.26,0.03,0.0,0.0,4,-0.5797471625604946,1.0
3Li6,1.0,0.67,0.14,4.67,0.17,6,0.7163729158000769,-0.9769231092740902
3Li7,1.5,-4.15,0.06,1.0,0.08,7,2.6688042523731133,0.5978784934040691
4Be9,1.5,7.79,0.01,0.0,0.0,9,-1.8808010647935158,1.0
5B10,3.0,-4.2,0.4,5.2,0.4,10,2.4995902385518205,-0.8566355334451112
5B11,1.5,5.6,0.3,8.3,0.3,11,-0.9369293484050856,-1.8708059985289665
6C12,0.0,6.6535,0.0014,0.0,0.0,12,-1.2355260085088324,1.0
6C13,0.5,5.6,0.5,6.2,0.5,13,-0.83202005660365,-1.028307919811184
7N14,1.0,10.7,0.2,6.2,0.3,14,-2.415055348853387,-0.9788171180271963
7N15,0.5,6.77,0.1,6.21,0.1,15,-1.1116157697452267,-0.9369474047441444
8O16,0.0,5.805,0.005,0.0,0.0,16,-0.7720890589760379,1.0
8O17,2.5,5.52,0.2,5.17,0.2,17,-0.65137644261936,-0.5466696029605238
8O18,0.0,5.84,0.07,0.0,0.0,18,-0.7141361991055022,1.0
9F19,0.5,5.632,0.01,5.767,0.01,19,-0.6235590674225113,-0.662476055011652
10Ne20,0.0,4.631,0.006,0.0,0.0,20,-0.31236537463104863,1.0
10Ne21,1.5,6.66,0.19,0.0,0.0,21,-0.8569110985126314,1.0
10Ne22,0.0,3.87,0.01,0.0,0.0,22,-0.06241302338421684,1.0
11Na23,1.5,6.42,0.04,-1.0,0.06,23,-0.7365304261591377,1.270487605320738
12Mg24,0.0,5.49,0.18,0.0,0.0,24,-0.4640589985326864,1.0
12Mg25,2.5,4.73,0.3,1.76,0.2,25,-0.2443363427355041,0.5369911282844636
12Mg26,0.0,4.89,0.15,0.0,0.0,26,-0.2697193092177348,1.0
13Al27,2.5,3.67,0.02,3.15,0.02,27,0.0589743589743591,0.1923076923076924
14Si28,0.0,4.106,0.006,0.0,0.0,28,-0.04013469314241669,1.0
14Si29,0.5,4.5,0.15,4.7,0.4,29,-0.12668668563038787,-0.176761649436183
14Si30,0.0,4.58,0.08,0.0,0.0,30,-0.13383112345994497,1.0
15P31,0.5,5.13,0.01,0.0,0.0,31,-0.2561845515760133,1.0
16S32,0.0,2.804,0.002,0.0,0.0,32,0.32061180309514925,1.0
16S33,1.5,4.74,0.19,0.0,0.0,33,-0.13674663184621028,1.0
16S34,0.0,3.48,0.03,0.0,0.0,34,0.17369016995570896,1.0
17Cl35,1.5,16.3,0.2,4.0,0.3,35,-2.833141963343032,0.059351665437292755
17Cl37,1.5,3.1,0.07,3.05,0.07,37,0.2843767639788142,0.2959190742372205
18Ar36,0.0,24.9,0.07,0.0,0.0,36,-4.800808046348754,1.0
18Ar38,0.0,0.0,0.0,0.0,0.0,38,1.0,1.0
18Ar40,0.0,1.7,0.0,0.0,0.0,40,0.6176284496183175,1.0
19K39,1.5,5.15,0.0,1.51,0.0,39,-0.16817795885277476,0.657485685850934
19K40,4.0,0.0,0.0,0.0,0.0,40,1.0,1.0
19K41,1.5,2.69,0.08,0.0,0.0,41,0.39991287526852637,1.0
20Ca40,0.0,4.78,0.05,0.0,0.0,40,-0.07513882989673082,1.0
20Ca42,0.0,3.36,0.1,0.0,0.0,42,0.2564454624024277,1.0
20Ca43,3.5,-1.56,0.09,0.0,0.0,43,1.3425245944982733,1.0
20Ca44,0.0,1.42,0.06,0.0,0.0,44,0.6905949247620613,1.0
20Ca46,0.0,3.55,0.21,0.0,0.0,46,0.237864151115865,1.0
20Ca48,0.0,0.39,0.09,0.0,0.0,48,0.9174518187776344,1.0
