Isotope,Spin,b+,b+_unc,b-,b-_unc,A,+LHS,-LHS,Solution+,Solution-
1H1,0.5,10.817,0.005,-47.42,0.014,1,-7.320769231,37.47692308,1.65323,1.55362
1H2,1,9.53,0.03,0.975,0.06,2,-4.818435394,0.4047246055,1.69279,4.17836
1H3,0.5,4.18,0.15,6.56,0.37,3,-1.229423174,-2.498807661,1.96353,1.79067
2He3,0.5,4.7,0.5,8.8,1.4,3,-1.506767684,-3.693522473,1.90589,1.72636
2He4,0,3.26,0.03,0,0,4,-0.5797471626,1,2.22931,0
3Li6,1,0.67,0.14,4.67,0.17,6,0.7163729158,-0.9769231093,0.7163729158,2.03654
3Li7,1.5,-4.15,0.06,1,0.08,7,2.668804252,0.5978784934,1.28761,4.34492
4Be9,1.5,7.79,0.01,0,0,9,-1.880801065,1,4.8222,0
5B10,3,-4.2,0.4,5.2,0.4,10,2.499590239,-0.8566355334,1.26434,2.08184
5B11,1.5,5.6,0.3,8.3,0.3,11,-0.9369293484,-1.870805999,4.92577,4.82277
6C12,0,6.6535,0.0014,0,0,12,-1.235526009,1,4.87685,0
6C13,0.5,5.6,0.5,6.2,0.5,13,-0.8320200566,-1.02830792,4.95056,4.908
7N14,1,10.7,0.2,6.2,0.3,14,-2.415055349,-0.978817118,4.79847,4.91724
7N15,0.5,6.77,0.1,6.21,0.1,15,-1.11161577,-0.9369474047,4.89417,4.92577
8O16,0,5.805,0.005,0,0,16,-0.772089059,1,4.96745,0
8O17,2.5,5.52,0.2,5.17,0.2,17,-0.6513764426,-0.546669603,5.00975,5.05933
8O18,0,5.84,0.07,0,0,18,-0.7141361991,1,4.98617,0
9F19,0.5,5.632,0.01,5.767,0.01,19,-0.6235590674,-0.662476055,5.02152,5.00529
10Ne20,0,4.631,0.006,0,0,20,-0.3123653746,1,5.2592,0
10Ne21,1.5,6.66,0.19,0,0,21,-0.8569110985,1,4.94418,0
10Ne22,0,3.87,0.01,0,0,22,-0.06241302338,1,5.92878,0
11Na23,1.5,6.42,0.04,-1,0.06,23,-0.7365304262,1.270487605,2.13683,0.78241
12Mg24,0,5.49,0.18,0,0,24,-0.4640589985,1,5.11137,0
12Mg25,2.5,4.73,0.3,1.76,0.2,25,-0.2443363427,0.5369911283,2.57926,4.30404
12Mg26,0,4.89,0.15,0,0,26,-0.2697193092,1,5.32095,0
13Al27,2.5,3.67,0.02,3.15,0.02,27,0.05897435897,0.1923076923,3.33584,3.76874
14Si28,0,4.106,0.006,0,0,28,-0.04013469314,1,6.04516,0
14Si29,0.5,4.5,0.15,4.7,0.4,29,-0.1266866856,-0.1767616494,5.66102,5.5109
14Si30,0,4.58,0.08,0,0,30,-0.1338311235,1,5.63688,0
15P31,0.5,5.13,0.01,0,0,31,-0.2561845516,1,5.34331,0
16S32,0,2.804,0.002,0,0,32,0.3206118031,1,4.05696,0
16S33,1.5,4.74,0.19,0,0,33,-0.1367466318,1,5.62731,0
16S34,0,3.48,0.03,0,0,34,0.17369017,1,3.71458,0
17Cl35,1.5,16.3,0.2,4,0.3,35,-2.833141963,0.05935166544,7.89864,9.9586
17Cl37,1.5,3.1,0.07,3.05,0.07,37,0.284376764,0.2959190742,3.98999,4.01244
18Ar36,0,24.9,0.07,0,0,36,-4.800808046,1,7.88041,0
18Ar38,0,0,0,0,0,38,1,1,0,0
18Ar40,0,1.7,0,0,0,40,0.6176284496,1,4.35656,0
19K39,1.5,5.15,0,1.51,0,39,-0.1681779589,0.6574856859,2.71347,4.37803
19K40,4,0,0,0,0,40,1,1,0,0
19K41,1.5,2.69,0.08,0,0,41,0.3999128753,1,4.17249,0
20Ca40,0,4.78,0.05,0,0,40,-0.0751388299,1,5.86792,0
20Ca42,0,3.36,0.1,0,0,42,0.2564454624,1,3.93102,0
20Ca43,3.5,-1.56,0.09,0,0,43,1.342524594,1,0.85293,0
20Ca44,0,1.42,0.06,0,0,44,0.6905949248,1,4.39405,0
20Ca46,0,3.55,0.21,0,0,46,0.2378641511,1,3.88794,0
20Ca48,0,0.39,0.09,0,0,48,0.9174518188,1,4.47339,0
