Isotope Spin       b+      b+_unc b-      b-_unc A
1H1            0.5 10.817 0.005 -47.42 0.014          1
1H2              1    9.53    0.03 0.975      0.06    2
1H3            0.5    4.18    0.15   6.56     0.37    3
2He3           0.5     4.7     0.5    8.8      1.4    3
2He4             0    3.26    0.03      0        0    4
3Li6             1    0.67    0.14   4.67     0.17    6
3Li7           1.5 -4.15      0.06      1     0.08    7
4Be9           1.5    7.79    0.01      0        0    9
5B10             3    -4.2     0.4    5.2      0.4   10
5B11           1.5     5.6     0.3    8.3      0.3   11
6C12             0 6.6535 0.0014        0        0   12
6C13           0.5     5.6     0.5    6.2      0.5   13
7N14             1    10.7     0.2    6.2      0.3   14
7N15           0.5    6.77     0.1   6.21      0.1   15
8O16             0 5.805 0.005          0        0   16
8O17           2.5    5.52     0.2   5.17      0.2   17
8O18             0    5.84    0.07      0        0   18
9F19           0.5 5.632      0.01 5.767      0.01   19
10Ne20           0 4.631 0.006          0        0   20
10Ne21         1.5    6.66    0.19      0        0   21
10Ne22           0    3.87    0.01      0        0   22
11Na23         1.5    6.42    0.04     -1     0.06   23
12Mg24           0    5.49    0.18      0        0   24
12Mg25         2.5    4.73     0.3   1.76      0.2   25
12Mg26           0    4.89    0.15      0        0   26
13Al27         2.5    3.67    0.02   3.15     0.02   27
14Si28           0 4.106 0.006          0        0   28
14Si29         0.5     4.5    0.15    4.7      0.4   29
14Si30           0    4.58    0.08      0        0   30
15P31          0.5    5.13    0.01      0        0   31
16S32            0 2.804 0.002          0        0   32
16S33          1.5    4.74    0.19      0        0   33
16S34            0    3.48    0.03      0        0   34
17Cl35         1.5    16.3     0.2      4      0.3   35
17Cl37         1.5     3.1    0.07   3.05     0.07   37
18Ar36           0    24.9    0.07      0        0   36
18Ar38           0       0       0      0        0   38
18Ar40           0     1.7       0      0        0   40
19K39          1.5    5.15       0   1.51        0   39
19K40            4       0       0      0        0   40
19K41          1.5    2.69    0.08      0        0   41
20Ca40           0    4.78    0.05      0        0   40
20Ca42           0    3.36     0.1      0        0   42
20Ca43         3.5 -1.56      0.09      0        0   43
20Ca44           0    1.42    0.06      0        0   44
20Ca46           0    3.55    0.21      0        0   46
20Ca48           0    0.39    0.09      0        0   48

